subject_slug,problem_id,statement
operating-systems-principles-practice,4,"Suppose a computer system and all of its applications were completely bug free. Suppose further that everyone in the world were completely honest and trustworthy. In other words, we need not consider fault isolation. a. How should an operating system allocate time on the processor? Should it give the entire processor to each application until it no longer needs it? If there were multiple tasks ready to go at the same time, should it schedule first the task with the least amount of work to do or the one with the most? Justify your answer. b. How should the operating system allocate physical memory to applications? What should happen if the set of applications does not fit in memory at the same time? c. How should the operating system allocate its disk space? Should the first user to ask acquire all of the free space? What would the likely outcome be for that policy?"
operating-systems-principles-practice,5,Now suppose the computer system needs to support fault isolation. What hardware and/or operating support do you think would be needed to do the following? a. Protect an application’s data structures in memory from being corrupted by other applications. b. Protecting one user’s disk files from being accessed or corrupted by another user. c. Protecting the network from a virus trying to use your computer to send spam.
operating-systems-principles-practice,6,How should an operating system support communication between applications? Explain your reasoning. a. Through the file system? b. Through messages passed between applications? c. Through regions of memory shared between the applications? d. All of the above? e. None of the above?
operating-systems-principles-practice,7,How would you design combined hardware and software support to provide the illusion of a nearly infinite virtual memory on a limited amount of physical memory?
operating-systems-principles-practice,8,How would you design a system to run an entire operating system as an application on top of another operating system?
operating-systems-principles-practice,9,How would you design a system to update complex data structures on disk in a consistent fashion despite machine crashes?
operating-systems-principles-practice,10,"Society itself must grapple with managing resources. What ways do governments use to allocate resources, isolate misuse, and foster sharing in real life?"
operating-systems-principles-practice,11,"Suppose you were tasked with designing and implementing an ultra-reliable and ultra- available operating system. What techniques would you use? What tests, if any, might be sufficient to convince you of the system’s reliability, short of handing your operating system to millions of users to serve as beta testers?"
operating-systems-principles-practice,12,"MTTR, and therefore availability, can be improved by reducing the time to reboot a system after a failure. What techniques might you use to speed up booting? Would your techniques always work after a failure?"
operating-systems-principles-practice,13,"For the computer you are currently using, how should the operating system designers prioritize among reliability, security, portability, performance, and adoption? Explain why."
